,New York,Borough,income_num_returns(households),avg income per return(x1000s),income level,DBA,STREET,GRADE DATE
0,10007,Manhattan,3640,693.3799451,high income,MARIACHI'S RESTAURANT,CHAMBERS STREET,1/13/2020
1,10007,Manhattan,3640,693.3799451,high income,SPOTIFY - BARISTA BAR,GREENWICH STREET,1/22/2020
2,10007,Manhattan,3640,693.3799451,high income,STARBUCKS COFFEE COMPANY #29854,GREENWICH STREET,1/13/2020
4,10007,Manhattan,3640,693.3799451,high income,CANTEEN,WORLD TRADE CTR,1/23/2020
5,10007,Manhattan,3640,693.3799451,high income,JOE & THE JUICE GREENWICH ST,GREENWICH STREET,12/30/2019
6,10007,Manhattan,3640,693.3799451,high income,BARCLAY STREET CAFE,GREENWICH STREET,1/10/2020
8,10007,Manhattan,3640,693.3799451,high income,LEKKA BURGER,WARREN STREET,1/10/2020
11,10007,Manhattan,3640,693.3799451,high income,SALAD BOX USA,PARK PLACE,1/13/2020
14,10007,Manhattan,3640,693.3799451,high income,ZUCKER'S BAGELS AND SMOKED FISH,CHAMBERS STREET,1/17/2020
19,10007,Manhattan,3640,693.3799451,high income,ELIM BISTRO,PARK PLACE,1/15/2020
20,10007,Manhattan,3640,693.3799451,high income,AROME,BROADWAY,1/17/2020
21,10007,Manhattan,3640,693.3799451,high income,MUSCLE MAKER GRILL,MURRAY STREET,1/13/2020
23,10007,Manhattan,3640,693.3799451,high income,HANK'S JUICY BEEF,CHAMBERS STREET,1/13/2020
27,10007,Manhattan,3640,693.3799451,high income,CHIPOTLE MEXICAN GRILL,GREENWICH STREET,2/3/2020
28,10007,Manhattan,3640,693.3799451,high income,GROUP M,GREENWICH STREET,1/30/2020
31,10007,Manhattan,3640,693.3799451,high income,CORNER GOURMET II,WEST BROADWAY,1/31/2020
32,10007,Manhattan,3640,693.3799451,high income,MAXWELL'S,READE STREET,2/5/2020
33,10007,Manhattan,3640,693.3799451,high income,TRE SORELLE,READE STREET,1/31/2020
35,10007,Manhattan,3640,693.3799451,high income,LITTLE PARK,WEST BROADWAY,2/5/2020
37,10007,Manhattan,3640,693.3799451,high income,MAJESTIC PIZZA,CORTLANDT STREET,2/10/2020
44,10007,Manhattan,3640,693.3799451,high income,MONK MCGINNS,MURRAY STREET,3/3/2020
45,10007,Manhattan,3640,693.3799451,high income,DELIMARIE,DUANE STREET,3/9/2020
46,10007,Manhattan,3640,693.3799451,high income,ANDY'S DELI,BROADWAY,3/6/2020
47,10007,Manhattan,3640,693.3799451,high income,ELIEZER KITCHEN,CHURCH STREET,2/24/2020
48,10007,Manhattan,3640,693.3799451,high income,SUBWAY,CHAMBERS STREET,3/3/2020
49,10007,Manhattan,3640,693.3799451,high income,PALM RESTAURANT,CHAMBERS STREET,3/2/2020
50,10007,Manhattan,3640,693.3799451,high income,BENARES RESTAURANT,MURRAY STREET,3/3/2020
51,10007,Manhattan,3640,693.3799451,high income,LITTLE ITALY PIZZA,PARK PLACE,3/3/2020
58,10007,Manhattan,3640,693.3799451,high income,FLASHDANCERS GENTLEMEN'S CLUB,MURRAY STREET,3/2/2020
59,10007,Manhattan,3640,693.3799451,high income,PRET A MANGER,CHURCH STREET,2/27/2020
62,10007,Manhattan,3640,693.3799451,high income,ONE WORLD OBSERVATORY,WORLD TRADE CTR,3/2/2020
63,10007,Manhattan,3640,693.3799451,high income,STARBUCKS,BROADWAY,3/2/2020
71,10007,Manhattan,3640,693.3799451,high income,EPICERIE BOULUD,GREENWICH STREET,3/13/2020
72,10007,Manhattan,3640,693.3799451,high income,DARKHORSE,MURRAY STREET,3/13/2020
73,10007,Manhattan,3640,693.3799451,high income,VIN SUR VINGT,WEST BROADWAY,3/10/2020
75,10007,Manhattan,3640,693.3799451,high income,BNY MELLON EXECUTIVE DINNING ROOM,GREENWICH STREET,3/12/2020
76,10007,Manhattan,3640,693.3799451,high income,DUNKIN',CHURCH STREET,3/10/2020
78,10007,Manhattan,3640,693.3799451,high income,JOE & THE JUICE (OCULUS WESTFIELD),GREENWICH STREET,10/29/2019
79,10007,Manhattan,3640,693.3799451,high income,CHIPOTLE MEXICAN GRILL,BROADWAY,10/16/2019
80,10007,Manhattan,3640,693.3799451,high income,AROMA ESPRESSO BAR,CHURCH STREET,10/18/2019
81,10007,Manhattan,3640,693.3799451,high income,CAFE/ 911 MUSEUM,GREENWICH STREET,10/16/2019
82,10007,Manhattan,3640,693.3799451,high income,LUNA PIZZA,PARK ROW,10/15/2019
83,10007,Manhattan,3640,693.3799451,high income,AAHAR,MURRAY STREET,10/29/2019
85,10007,Manhattan,3640,693.3799451,high income,A SAFFRON THREAD,CHAMBERS STREET,10/31/2019
87,10007,Manhattan,3640,693.3799451,high income,BURRITO MARIACHI,CHURCH STREET,10/29/2019
90,10007,Manhattan,3640,693.3799451,high income,FIVE AND DIME,PARK PLACE,10/29/2019
93,10007,Manhattan,3640,693.3799451,high income,FEDOROFF'S STEAKS,CORTLANDT STREET,10/25/2019
105,10007,Manhattan,3640,693.3799451,high income,APPLE GOURMET,BROADWAY,11/15/2019
106,10007,Manhattan,3640,693.3799451,high income,POKE GREEN,GREENWICH STREET,11/19/2019
107,10007,Manhattan,3640,693.3799451,high income,LYFEPING,CHAMBERS STREET,11/13/2019
109,10007,Manhattan,3640,693.3799451,high income,WARREN 77,WARREN STREET,11/12/2019
112,10007,Manhattan,3640,693.3799451,high income,J R SUSHI,WEST BROADWAY,11/26/2019
114,10007,Manhattan,3640,693.3799451,high income,AKIMOTO SUSHI,CHURCH STREET,11/13/2019
115,10007,Manhattan,3640,693.3799451,high income,SCHNIPPERS,CHURCH STREET,11/13/2019
116,10007,Manhattan,3640,693.3799451,high income,BLISS BOWL,GREENWICH STREET,11/26/2019
118,10007,Manhattan,3640,693.3799451,high income,DUNKIN',CHAMBERS STREET,11/13/2019
123,10007,Manhattan,3640,693.3799451,high income,KAFFE 1668,GREENWICH STREET,12/5/2019
131,10007,Manhattan,3640,693.3799451,high income,GUCKENHEIMER CAFE @ SPOTIFY,GREENWICH STREET,12/16/2019
132,10007,Manhattan,3640,693.3799451,high income,STARBUCKS,CHURCH STREET,11/20/2019
135,10007,Manhattan,3640,693.3799451,high income,LOS TACOS NO.1,CHURCH STREET,12/20/2019
136,10007,Manhattan,3640,693.3799451,high income,TAKUMI JAPANESE CUISINE,CHAMBERS STREET,12/13/2019
138,10007,Manhattan,3640,693.3799451,high income,FRANKLIN SQUARE CAFE @ HARPER COLLINS,BROADWAY,12/13/2019
139,10007,Manhattan,3640,693.3799451,high income,MBJ DOWNTOWN (BMCC cafeteria),CHAMBERS STREET,12/5/2019
144,10007,Manhattan,3640,693.3799451,high income,CHINA RED GOURMENT,CHAMBERS STREET,12/13/2019
145,10007,Manhattan,3640,693.3799451,high income,LADY M CONFECTIONS,LIBERTY STREET,12/2/2019
147,10007,Manhattan,3640,693.3799451,high income,CHECKERS,CHAMBERS STREET,12/13/2019
154,10007,Manhattan,3640,693.3799451,high income,CUT BY WOLFGANG PUCK,CHURCH STREET,11/29/2019
155,10007,Manhattan,3640,693.3799451,high income,STARBUCKS,BROADWAY,12/16/2019
160,10007,Manhattan,3640,693.3799451,high income,TAKAHACHI BAKERY,MURRAY STREET,12/18/2019
170,10007,Manhattan,3640,693.3799451,high income,THE HUMMUS & PITA CO.,CHAMBERS STREET,9/12/2019
171,10007,Manhattan,3640,693.3799451,high income,JUICE PRESS @ EQUINOX,MURRAY STREET,9/9/2019
172,10007,Manhattan,3640,693.3799451,high income,ZUCKER'S BAGELS AND SMOKED FISH,CHAMBERS STREET,9/10/2019
173,10007,Manhattan,3640,693.3799451,high income,HUNGRY GHOST COFFEE,CHURCH STREET,9/12/2019
174,10007,Manhattan,3640,693.3799451,high income,JOE COFFEE COMPANY,GREENWICH STREET,9/6/2019
175,10007,Manhattan,3640,693.3799451,high income,DARKHORSE,MURRAY STREET,9/12/2019
179,10007,Manhattan,3640,693.3799451,high income,STAGE DOOR DELI,VESEY STREET,9/5/2019
180,10007,Manhattan,3640,693.3799451,high income,MARIACHI'S RESTAURANT,CHAMBERS STREET,9/5/2019
184,10007,Manhattan,3640,693.3799451,high income,GROUP M,GREENWICH STREET,9/6/2019
187,10007,Manhattan,3640,693.3799451,high income,OX VERTE,READE STREET,3/8/2019
188,10007,Manhattan,3640,693.3799451,high income,AKIMOTO SUSHI,CHURCH STREET,3/11/2019
189,10007,Manhattan,3640,693.3799451,high income,VIN SUR VINGT,WEST BROADWAY,3/18/2019
190,10007,Manhattan,3640,693.3799451,high income,N.Y. ACADEMY OF SCIENCE,GREENWICH STREET,3/1/2019
191,10007,Manhattan,3640,693.3799451,high income,DARKHORSE,MURRAY STREET,3/1/2019
198,10007,Manhattan,3640,693.3799451,high income,VIVI BUBBLE TEA,BROADWAY,3/8/2019
201,10007,Manhattan,3640,693.3799451,high income,PALM RESTAURANT,CHAMBERS STREET,2/26/2019
202,10007,Manhattan,3640,693.3799451,high income,WOODROWS,MURRAY STREET,2/26/2019
205,10007,Manhattan,3640,693.3799451,high income,AROME,BROADWAY,2/26/2019
206,10007,Manhattan,3640,693.3799451,high income,PRET A MANGER,CHURCH STREET,2/25/2019
208,10007,Manhattan,3640,693.3799451,high income,MANHATTAN PROPER,MURRAY STREET,2/26/2019
214,10007,Manhattan,3640,693.3799451,high income,EPICERIE BOULUD,GREENWICH STREET,2/25/2019
218,10007,Manhattan,3640,693.3799451,high income,GUNBAE,MURRAY STREET,4/1/2019
219,10007,Manhattan,3640,693.3799451,high income,SHEEZAN RESTAURANT,CHURCH STREET,4/8/2019
220,10007,Manhattan,3640,693.3799451,high income,PRET A MANGER,BROADWAY,3/29/2019
222,10007,Manhattan,3640,693.3799451,high income,NEW FRESCO TORTILLAS,READE STREET,4/5/2019
223,10007,Manhattan,3640,693.3799451,high income,GRAN MORSI,WARREN STREET,3/28/2019
224,10007,Manhattan,3640,693.3799451,high income,NOBU 195,BROADWAY,3/21/2019
225,10007,Manhattan,3640,693.3799451,high income,WICHCRAFT,BROADWAY,4/4/2019
226,10007,Manhattan,3640,693.3799451,high income,FOUR SEASONS HOTEL BANQUET KITCHEN,BARCLAY STREET,3/25/2019
227,10007,Manhattan,3640,693.3799451,high income,TRE SORELLE,READE STREET,3/25/2019
228,10007,Manhattan,3640,693.3799451,high income,LE PAIN QUOTIDIEN,WEST BROADWAY,4/8/2019
231,10007,Manhattan,3640,693.3799451,high income,JUPIOCA,CHURCH STREET,4/8/2019
234,10007,Manhattan,3640,693.3799451,high income,MUDVILLE SALOON,CHAMBERS STREET,3/28/2019
239,10007,Manhattan,3640,693.3799451,high income,POTBELLY SANDWICH WORKS,BROADWAY,3/29/2019
245,10007,Manhattan,3640,693.3799451,high income,SOPHIE'S CUBAN CUISINE,CHAMBERS STREET,4/1/2019
252,10007,Manhattan,3640,693.3799451,high income,DARKHORSE,MURRAY STREET,1/8/2019
253,10007,Manhattan,3640,693.3799451,high income,KAFFE 1668,GREENWICH STREET,1/14/2019
254,10007,Manhattan,3640,693.3799451,high income,1803,READE STREET,1/15/2019
256,10007,Manhattan,3640,693.3799451,high income,LITTLE ITALY PIZZA,PARK PLACE,2/5/2019
257,10007,Manhattan,3640,693.3799451,high income,MAXWELL'S,READE STREET,1/23/2019
258,10007,Manhattan,3640,693.3799451,high income,SPOTIFY - BARISTA BAR,GREENWICH STREET,1/25/2019
259,10007,Manhattan,3640,693.3799451,high income,BARCLAY STREET CAFE,GREENWICH STREET,1/2/2019
260,10007,Manhattan,3640,693.3799451,high income,ELIEZER KITCHEN,CHURCH STREET,2/5/2019
261,10007,Manhattan,3640,693.3799451,high income,STARBUCKS COFFEE COMPANY #29854,GREENWICH STREET,1/9/2019
262,10007,Manhattan,3640,693.3799451,high income,MCDONALD'S,CHAMBERS STREET,1/25/2019
263,10007,Manhattan,3640,693.3799451,high income,STARBUCKS,BROADWAY,1/9/2019
265,10007,Manhattan,3640,693.3799451,high income,BLUESPOON COFFEE,CHAMBERS STREET,1/25/2019
