"restaurant_id","name","neighborhood","borough","zip_code","closed_as_of_date"
5,"Bunsmith","Crown Heights","Brooklyn","11238","2020-08-06"
7,"Fonda","East Village","Manhattan","10009","2020-08-06"
8,"Oda House","East Village","Manhattan","10009","2020-08-06"
16,"Holy Ground","Tribeca","Manhattan","10013","2020-08-06"
17,"Angkor Cambodian Bistro","Upper East Side","Manhattan","10065","2020-08-06"
34,"Agra Restaurant","Upper East Side","Manhattan","10065","2020-07-30"
36,"La Caridad 78","Upper West Side","Manhattan","10024","2020-07-30"
37,"Oath Pizza","Upper West Side","Manhattan","10024","2020-07-30"
38,"Recolte","Upper West Side","Manhattan","10023","2020-07-30"
43,"Always and Forever Cafe","Bed Stuy","Brooklyn","11238","2020-07-23"
44,"Let’s Makan","Chinatown","Manhattan","10013","2020-07-23"
45,"Bad Seed","Crown Heights","Brooklyn","11238","2020-07-23"
53,"Violet’s Bake Shoppe","Forest Hills","Queens","11375","2020-07-16"
54,"Dutch Kills Centraal","Long Island City","Queens","11101","2020-07-16"
56,"Ali Baba","Upper West Side","Manhattan","10024","2020-07-16"
57,"Amsterdam Gourmet Deli","Upper West Side","Manhattan","10024","2020-07-16"
58,"the Beacon Bar","Upper West Side","Manhattan","10023","2020-07-16"
60,"Floating Mountain Tea House","Upper West Side","Manhattan","10023","2020-07-16"
61,"Grill 212","Upper West Side","Manhattan","10024","2020-07-16"
63,"Nanoosh","Upper West Side","Manhattan","10023","2020-07-16"
64,"New Wave Cafe","Upper West Side","Manhattan","10024","2020-07-16"
65,"Pasta Franco","Upper West Side","Manhattan","10024","2020-07-16"
66,"Vaucluse","Upper East Side","Manhattan","10065","2020-07-16"
75,"Pokebab","Upper West Side","Manhattan","10023","2020-07-16"
80,"Glady’s","Crown Heights","Brooklyn","11238","2020-07-02"
84,"Padoca","Upper East Side","Manhattan","10065","2020-07-02"
89,"Aux Epices","Chinatown","Manhattan","10013","2020-06-26"
90,"Mee Li Fruits and Vegetables","Chinatown","Manhattan","10013","2020-06-26"
91,"the Finch","Clinton Hill","Brooklyn","11238","2020-06-26"
96,"The Way Station","Prospect Heights","Brooklyn","11238","2020-06-26"
98,"The Cupping Room Cafe","SoHo","Manhattan","10013","2020-06-26"
103,"Urban Vintage","Clinton Hill","Brooklyn","11238","2020-06-18"
104,"Violet","East Village","Manhattan","10009","2020-06-18"
111,"Oxbow Tavern","Upper West Side","Manhattan","10023","2020-06-18"
114,"The Forest Hills Diner","Forest Hills","Queens","11375","2020-06-05"
115,"Jack and Nellie’s","Forest Hills","Queens","11375","2020-06-05"
123,"Vietspot","Tribeca","Manhattan","10013","2020-05-29"
126,"Schnippers","Tribeca","Manhattan","10007","2020-05-22"
127,"Bistro Cassis","Upper West Side","Manhattan","10023","2020-05-22"
136,"Beyoglu","Upper East Side","Manhattan","10028","2020-05-15"
138,"the Aviary","Columbus Circle","Manhattan","10023","2020-05-08"
139,"the Office","Columbus Circle","Manhattan","10023","2020-05-08"
142,"The Irish Cottage","Forest Hills","Queens","11375","2020-05-08"
146,"Lucky Strike","SoHo","Manhattan","10013","2020-05-08"
