,blank,objectid,seating_interest,restaurant_name,legal_business_name,dba,building_number,street,borough,postcode,business_address,time_of_submission,latitude,longitude,nta
0,1,33,roadway,Nerai,Koureli Restaurant Group Inc,Nerai,55,East 54th Street,Manhattan,10022,"55 East 54th Street, Manhattan, NY",06/19/2020,40.760117,-73.973162,Midtown-Midtown South
1,11,43,roadway,Khe-Yo,KioRestaurant,Khe-Yo,157,Duane St.,Manhattan,10013,"157 Duane St., Manhattan, NY",06/19/2020,40.716761,-74.008744,SoHo-TriBeCa-Civic Center-Little Italy
2,16,48,both,Aunt Jake's,133 Mulberry Operating Corp Inc,Aunt Jake's,133,Mulberry Street,Manhattan,10013,"133 Mulberry Street, Manhattan, NY",06/19/2020,40.718455,-73.99776,SoHo-TriBeCa-Civic Center-Little Italy
3,28,60,sidewalk,Blossom on Columbus,Blossom West Inc,Blossom on Columbus,507,Columbus Ave,Manhattan,10024,"507 Columbus Ave, Manhattan, NY",06/19/2020,40.78546,-73.97291,Upper West Side
4,36,68,both,Jean Claude restaurant,Serena Wah Inc,Jean Claude 2,1343,2nd Avenue,Manhattan,10021,"1343  2nd Avenue , Manhattan, NY",06/19/2020,40.767933,-73.959011,Lenox Hill-Roosevelt Island
5,47,79,both,Nom Wah Tea Parlor,Nom Wah Dim Sum Parlor Inc,Nom Wah Tea Parlor,13,Doyers Street,Manhattan,10013,"13 Doyers Street, Manhattan, NY",06/19/2020,40.714558000000004,-73.99812800000001,Chinatown
6,62,94,roadway,e's BAR,EE BAR LLC,e's BAR,511,Amsterdam Ave,Manhattan,10024,"511  Amsterdam Ave, Manhattan, NY",06/19/2020,40.786706,-73.97571500000001,Upper West Side
7,72,104,both,Monk McGinn's,Murray 57 LLC,Monk McGinn's,57,Murray Street,Manhattan,10007,"57 Murray Street , Manhattan, NY",06/19/2020,40.714220000000005,-74.00974699999999,SoHo-TriBeCa-Civic Center-Little Italy
8,74,106,both,Il Piccolo Bufalo Restaurant,Buffanna Inc.,Il Piccolo Bufalo Restaurant,141,Mulberry Street,Manhattan,10013,"141 Mulberry Street, Manhattan, NY",06/19/2020,40.718705,-73.997619,SoHo-TriBeCa-Civic Center-Little Italy
9,76,108,both,jaya 888,jaya 888 inc,jaya 888,90,baxter street,Manhattan,10013,"90 baxter street, Manhattan, NY",06/19/2020,40.71685,-73.99975500000001,Chinatown
10,78,110,sidewalk,The Original Buddha Bodai,Buddha Bodai One Vegetarian Restaurant Inc.,Buddha Bodai One Vegetarian Restaurant Inc.,5,Mott Street,Manhattan,10013,"5 Mott Street, Manhattan, NY",06/19/2020,40.713882,-73.99870899999999,Chinatown
11,95,127,both,Tomi Jazz,Tomi New York Inc,Tomi Jazz,239,East 53rd Street,Manhattan,10022,"239 East 53rd Street, Manhattan, NY",06/19/2020,40.757314,-73.96844499999999,Turtle Bay-East Midtown
