,blank,objectid,seating_interest,restaurant_name,legal_business_name,dba,building_number,street,borough,postcode,business_address,time_of_submission,latitude,longitude,nta
0,94,126,both,Mottley Kitchen,Mottley Kitchen LLC,Mottley Kitchen LLC,402,East 140th Street,Bronx,10454,"402 East 140th Street, Bronx, NY",06/19/2020,40.810158,-73.92138299999999,Mott Haven-Port Morris
1,403,435,both,MG 54  BAR AND LOUNGE INC,MG 54  BAR AND LOUNGE INC,MG 54  BAR AND LOUNGE INC,1548,University,Bronx,10452,"1548 University, Bronx, NY",06/19/2020,,,
2,949,981,sidewalk,Seis Vecinos,J&J Prospect Corp,Seis Vecinos Restaurant,640,Prospect Ave,Bronx,10455,"640 Prospect Ave, Bronx, NY",06/19/2020,40.815227,-73.903396,Longwood
3,974,1006,both,The Bronx Beer Hall,The Bronx Beer Hall,The Bronx Beer Hall,2344,Arthur Avenue,Bronx,10460,"2344  Arthur Avenue , Bronx, NY",06/19/2020,40.854246999999994,-73.888674,Belmont
4,1490,1522,sidewalk,El tunnel restaurant & tapas bar inc,El tunnel restaurant & tapas bar inc,El tunnel restaurant & tapas bar inc,2026,Webster ave,Bronx,10457,"2026 Webster ave, Bronx, NY",06/19/2020,40.850929,-73.898996,Mount Hope
5,1897,1929,sidewalk,Charlies Bar & Kitchen,The Clock Cafe LLC,Charlies Bar & Kitchen,112,Lincoln Ave,Bronx,10454,"112 Lincoln Ave, Bronx, NY",06/19/2020,40.807896,-73.92939399999999,Mott Haven-Port Morris
6,2255,2287,sidewalk,McDonalds,SOUTHERN CROSSING FOODS LLC,SOUTHERN CROSSING FOODS LLC,925,HUNTS POINT AVE,Bronx,10459,"925 HUNTS POINT AVE, Bronx, NY",06/20/2020,40.820434000000006,-73.890986,Hunts Point
7,2305,2337,sidewalk,Xime deli corp,Xime deli corp,Xime deli corp,448,East 138th street,Bronx,10454,"448 East 138th street , Bronx, NY",06/20/2020,40.80845,-73.921356,Mott Haven-Port Morris
8,2602,2634,sidewalk,Krystal Bar&Lounge,Liranzo Family Inc.,Krystal Bar&Lounge,1534,University Avenue,Bronx,10452,"1534 University Avenue, Bronx, NY",06/20/2020,40.845763,-73.922035,University Heights-Morris Heights
9,2784,2816,both,Charlies Bar & Kitchen,The Clock Cafe LLC,The Clock Cafe LLC,112,Lincoln Ave,Bronx,10454,"112 Lincoln Ave, Bronx, NY",06/21/2020,40.807896,-73.92939399999999,Mott Haven-Port Morris
10,2842,2874,sidewalk,CARIDAD EXPRESS,DIOSA'S RESTAURANT CORP,DIOSA'S RESTAURANT CORP,710 EAST,138TH STREET,Bronx,10454,"710 EAST  138TH STREET, Bronx, NY",06/21/2020,40.804934,-73.913038,Mott Haven-Port Morris
11,2859,2891,sidewalk,CARIDAD EXPRESS RESTAURANT,DIOSAS'S RESTAURANT CORP. CARIDAD EXPRESS RESTAURANT,DIOSAS'S RESTAURANT CORP. CARIDAD EXPRESS RESTAURANT,710 EAST,138TH STREET,Bronx,10454,"710 EAST  138TH STREET, Bronx, NY",06/21/2020,40.804934,-73.913038,Mott Haven-Port Morris
12,2910,2942,sidewalk,El Caldero Restaurant Sport Bar,1267 LRM CORPORATION,1267 LRM CORPORATION,1267,JEROME AVE,Bronx,10452,"1267 JEROME AVE, Bronx, NY",06/21/2020,40.837357,-73.92048299999999,Highbridge
13,3007,3039,both,1353 RESTAURANT CORP,1353 RESTAURANT CORP,BESTIA KITCHEN,1353,EDWARD L GRANT HWY,Bronx,10452,"1353 EDWARD L GRANT HWY, Bronx, NY",06/21/2020,40.840188,-73.92141600000001,Highbridge
14,3053,3085,both,PHOENIX BAR RESTAURANT LOUNGE,EAGLE & CEDAR GROUP LLC,PHOENIX BAR & RESTAURANT,1404,OGDEN AVE,Bronx,10452,"1404 OGDEN AVE, Bronx, NY",06/21/2020,40.842657,-73.923976,Highbridge
15,3076,3108,both,Boogie Down Grind Cafe,BX Invest LLC dba Boogie Down Grind Cafe,Boogie Down Grind Cafe,868,Hunts Point Avenue,Bronx,10474,"868 Hunts Point Avenue, Bronx, NY",06/21/2020,40.818448,-73.88905600000001,Hunts Point
16,3215,3247,both,CARMEN JONES,CARMEN JONES,EL SASON IDEAL RESTAURANT,148,WEST BURNSIDE AVENUE,Bronx,10453,"148 WEST BURNSIDE AVENUE, Bronx, NY",06/22/2020,40.853922999999995,-73.914604,University Heights-Morris Heights
17,3306,3338,sidewalk,xochimilco family rest inc,xochimilco family rest inc,xochimilco family rest inc,653,melrose ave,Bronx,10455,"653  melrose ave , Bronx, NY",06/22/2020,40.818556,-73.916655,Melrose South-Mott Haven North
18,3427,3460,sidewalk,VENUS RESTAURANT AND LOUNGE LLC,VENUS RESTAURANT AND LOUNGE LLC,VENUS RESTAURANT AND LOUNGE LLC,23,TREMONT AVE,Bronx,10453,"23  TREMONT AVE, Bronx, NY",06/22/2020,,,
19,3495,3528,both,RUINAS DE COPAN RESTAURANT,FRANKLIN PAZ,RUINAS DE COPAN RESTAURANT,483,BROOK AVENUE,Bronx,10455,"483 BROOK AVENUE, Bronx, NY",06/22/2020,40.813387,-73.915863,Mott Haven-Port Morris
20,3571,3606,both,ZERO LOUNGE RESTAURANT INC,ZERO LOUNGE RESTAURANT INC,O'SIDE RESTAURANT & LOUNGE,1472,OGDEN AVENUE,Bronx,10452,"1472 OGDEN AVENUE, Bronx, NY",06/22/2020,40.844034,-73.923642,Highbridge
21,3590,3625,both,El tunnel restaurant & tapas bar inc,El tunnel restaurant & tapas bar inc,El tunnel restaurant & tapas bar inc,2026,Webster ave,Bronx,10457,"2026  Webster ave , Bronx, NY",06/22/2020,40.850929,-73.898996,Mount Hope
22,3760,3795,both,A & K PARTY HALL CORP,A & K PARTY HALL CORP,AQUA,2241,WASHINGTON AVENUE,Bronx,10457,"2241 WASHINGTON AVENUE, Bronx, NY",06/22/2020,40.854402,-73.893865,Claremont-Bathgate
23,4056,4092,both,La Frontera Mexicana Corp.,La Frontera  Mexicana Corp.,La Frontera  Mexicana Corp.,497,E. 138th st,Bronx,10454,"497  E. 138th st, Bronx, NY",06/22/2020,40.807736,-73.919623,Mott Haven-Port Morris
24,4152,4188,sidewalk,Angela's Cuisine,Angela's Cuisine LLC,Angela's Cuisine LLC,440 East,138TH Street,Bronx,10454,"440 East  138TH Street , Bronx, NY",06/23/2020,40.80853,-73.92154000000001,Mott Haven-Port Morris
25,4196,4232,sidewalk,BB Pizza & Dine,BB Pizza,BB Pizza & Dine LLC,605,Southern Blvd,Bronx,10454,"605 Southern Blvd, Bronx, NY",06/23/2020,40.812652,-73.902345,Longwood
26,4209,4245,sidewalk,Los Nísperos,Los Nísperos Peruvian Restaurant,Los Nísperos Peruvian Restaurant,500E 149,brook ave,Bronx,10455,"500E 149 brook ave, Bronx, NY",06/23/2020,,,
