,blank,objectid,seating_interest,restaurant_name,legal_business_name,dba,building_number,street,borough,postcode,business_address,time_of_submission,latitude,longitude,nta
0,50,82,both,Bar Meridian,Prospective Crown LLC,Bar Meridian,406,Prospect Place,Brooklyn,11238,"406 Prospect Place, Brooklyn, NY",06/19/2020,40.676419,-73.962971,Prospect Heights
1,60,92,both,5 burro cafe,Marla’s food corp,5 burro cafe,7205,Austin Street,Queens,11375,"7205 Austin Street , Queens, NY",06/19/2020,40.719248,-73.84236999999999,Forest Hills
2,108,140,sidewalk,Empellon Al Pastor,"SADA 3, LLC",Empellon Al Pastor,132,St. Marks Place,Manhattan,10009,"132 St. Marks Place, Manhattan, NY",06/19/2020,40.727196,-73.98437,East Village
3,109,141,both,Otway,St james 930 LLC,Otway,930,Fulton street,Brooklyn,11238,"930 Fulton street, Brooklyn, NY",06/19/2020,40.682833,-73.963833,Clinton Hill
4,143,175,both,Laila restaurant,Laila restaurant & lounge inc,Laila restaurant & lounge inc,45,Page ave,Staten Island,10309,"45  Page ave , Staten Island, NY",06/19/2020,40.522783000000004,-74.23491700000001,Charleston-Richmond Valley-Tottenville
5,144,176,both,Fiaschetteria Pistoia,Fiaschetteria LTD,Fiaschetteria Pistoia,647,East 11th street,Manhattan,10009,"647 East 11th street, Manhattan, NY",06/19/2020,40.72672,-73.977678,Lower East Side
6,200,232,sidewalk,Iconyc Brewing Company,Iconyc Brewing Company LLC,Iconyc Brewing Company LLC,43-63,11th street,Queens,11101,"43-63 11th street, Queens, NY",06/19/2020,40.750483,-73.948984,Hunters Point-Sunnyside-West Maspeth
7,206,238,sidewalk,Eleven b,East River Restaurant Group Ltd,Eleven b,174,Avenue B,Manhattan,10009,"174  Avenue B, Manhattan, NY",06/19/2020,40.727382,-73.979543,East Village
8,209,241,sidewalk,LUCIEN,"Requisite Bootie, Inc",LUCIEN,14,1st Avenie,Manhattan,10009,"14  1st Avenie, Manhattan, NY",06/19/2020,,,
9,210,242,sidewalk,Hanoi House,King Me Kong LLC,Hanoi House,119,St Marks Place,Manhattan,10009,"119 St Marks Place, Manhattan, NY",06/19/2020,40.727268,-73.98449699999999,East Village
10,215,247,roadway,Bearded Lady,Bogman LLC,Bearded Lady,686A,Washington Avenue,Brooklyn,11238,"686A Washington Avenue, Brooklyn, NY",06/19/2020,40.67738,-73.96369200000001,Prospect Heights
11,241,273,both,Bearded Lady,Bogman LLC,Bearded Lady,686A,Washington Avenue,Brooklyn,11238,"686A Washington Avenue, Brooklyn, NY",06/19/2020,40.67738,-73.96369200000001,Prospect Heights
12,250,282,sidewalk,RIVIERA RISTORANTE,17-12 RIVIERA RESTAURANT CORP.,17-12 RIVIERA RESTAURANT CORP.,1712,UTOPIA PKWY,Queens,11357,"1712 UTOPIA PKWY, Queens, NY",06/19/2020,40.781944,-73.794327,Ft. Totten-Bay Terrace-Clearview
13,273,305,both,Locanda Vini e Olii,Francat Inc,Locanda Vini e Olii,129,Gates Ave,Brooklyn,11238,"129 Gates Ave, Brooklyn, NY",06/19/2020,40.684804,-73.96292700000001,Clinton Hill
14,294,326,sidewalk,Chuko,Bar Chuko LLC,Chuko,565,Vanderbilt Ave,Brooklyn,11238,"565 Vanderbilt Ave, Brooklyn, NY",06/19/2020,40.680839,-73.96771,Prospect Heights
15,302,334,both,The shannon pot 2,Farah2004 inc,Farah2004 inc,10 50,44th drive long island citu,Queens,11101,"10 50  44th drive long island citu, Queens, NY",06/19/2020,40.748725,-73.95062,Hunters Point-Sunnyside-West Maspeth
16,322,354,sidewalk,BierWax,BierWax LLC,BierWax,556,Vanderbilt Avenue,Brooklyn,11238,"556  Vanderbilt Avenue , Brooklyn, NY",06/19/2020,40.679966,-73.968046,Prospect Heights
17,331,363,sidewalk,Jerusalem Bagels,Jerusalem Bagels Inc.,Jerusalem Bagels Inc.,64-48,108 Street,Queens,11375,"64-48 108 Street, Queens, NY",06/19/2020,40.732042,-73.849152,Forest Hills
18,373,405,both,Tap house,Eire Corp,Eire Corp,72-07,Austin Street,Queens,11375,"72-07 Austin Street, Queens, NY",06/19/2020,40.719228,-73.842327,Forest Hills
19,390,422,both,The Local NY,Sunlite Avenue Holdings LLC,The Local NYC,13-02,44th Avenue,Queens,11101,"13-02 44th Avenue, Queens, NY",06/19/2020,40.749651,-73.947487,Hunters Point-Sunnyside-West Maspeth
20,404,436,sidewalk,Health Kitchen,"LS Health Foods, Inc.",Health Kitchen,10-17A,154th Street,Queens,11357,"10-17A 154th Street, Queens, NY",06/19/2020,40.792825,-73.80714,Whitestone
21,431,463,both,Acey Ducey’s,Acey Ducey’s Rest. Corp.,Acey Ducey’s Rest. Corp.,101-17,Metropolitan Avenue,Queens,11375,"101-17 Metropolitan Avenue, Queens, NY",06/19/2020,40.710595,-73.851632,Forest Hills
22,442,474,both,The Gutter Bar LIC,The Gutter Bar LIC LLC,The Gutter Bar LIC LLC,2020-10-22T00:00:00.000,46th Ave,Queens,11101,"10-22 46th Ave, Queens, NY",06/19/2020,40.746727,-73.951993,Hunters Point-Sunnyside-West Maspeth
23,465,497,both,Baby Jane,Fulton Brothers Tavern and Lounge,Baby Jane,899,Fulton Street,Brooklyn,11238,"899  Fulton Street, Brooklyn, NY",06/19/2020,40.683595000000004,-73.967348,Clinton Hill
24,468,500,sidewalk,Colina Cuervo,Cuatro Rios LLC,Colina Cuervo,759,Nostrand Avenue,Brooklyn,11238,"759 Nostrand Avenue , Brooklyn, NY",06/19/2020,40.671333000000004,-73.950353,Crown Heights North
25,496,528,both,Gnocco,Food in Italy LLC,Food in Italy LLC,337,East10th street,Manhattan,10009,"337 East10th street, Manhattan, NY",06/19/2020,40.727123999999996,-73.980499,East Village
26,500,532,sidewalk,Dutch Kills Bar,27-24 Tavern Corp.,27-24 Tavern Corp.,2724,Jackson Ave.,Queens,11101,"2724  Jackson Ave. , Queens, NY",06/19/2020,40.747896000000004,-73.940173,Hunters Point-Sunnyside-West Maspeth
