,restaurant_id,name,neighborhood,borough,zip_code,closed_as_of_date
0,5,Bunsmith,Crown Heights,Brooklyn,11238,2020-08-06
1,7,Fonda,East Village,Manhattan,10009,2020-08-06
2,8,Oda House,East Village,Manhattan,10009,2020-08-06
3,43,Always and Forever Cafe,Bed Stuy,Brooklyn,11238,2020-07-23
4,45,Bad Seed,Crown Heights,Brooklyn,11238,2020-07-23
5,53,Violet’s Bake Shoppe,Forest Hills,Queens,11375,2020-07-16
6,54,Dutch Kills Centraal,Long Island City,Queens,11101,2020-07-16
7,80,Glady’s,Crown Heights,Brooklyn,11238,2020-07-02
8,91,the Finch,Clinton Hill,Brooklyn,11238,2020-06-26
9,96,The Way Station,Prospect Heights,Brooklyn,11238,2020-06-26
10,103,Urban Vintage,Clinton Hill,Brooklyn,11238,2020-06-18
11,104,Violet,East Village,Manhattan,10009,2020-06-18
12,114,The Forest Hills Diner,Forest Hills,Queens,11375,2020-06-05
13,115,Jack and Nellie’s,Forest Hills,Queens,11375,2020-06-05
14,142,The Irish Cottage,Forest Hills,Queens,11375,2020-05-08
